trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
89,False,"{'a': 0.5, 'e': 0.494602929967057}",20,6,-48.475511458043584,"{0: 9, 1: 1, 2: 2, 3: 2, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4906618916992402}",25,16,10.707574015732021,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.4867522559599717}",25,0,-69.82054841106122,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.48287377253122976}",25,14,-12.894030159515083,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.4790261931887511}",20,14,12.319044326286868,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.47520927168614446}",25,7,-8.127758679782518,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.4714227637391309}",25,0,16.522062752739515,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,8,24.08316805785153,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.4639400210916467}",20,0,-16.078417448775244,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.4602433074930926}",30,0,-64.05573725515075,"{0: 22, 1: 5, 2: 1, 3: 1, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.4565760496233147}",25,15,-6.849376965410794,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.4529380127765577}",20,12,-27.113360504687666,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,0,-48.41759509510194,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.4457486726649602}",20,0,-98.58179561911271,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.44219690927989863}",25,15,4.39621093545418,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.4386734466479678}",30,19,-3.200167628124966,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.43517805926635666}",25,0,-84.14556801816475,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,0,-12.425065298287922,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.4282706172126597}",20,0,-43.90246474036008,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.4248581204619246}",30,15,22.74385321298869,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.42147281477591764}",35,18,-9.832229391018915,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.41811448349391933}",20,7,-34.75292080209788,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.4147829116815814}",20,0,-82.46038760755125,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
112,False,"{'a': 0.5, 'e': 0.41147788611717057}",20,14,12.741952545069326,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.4081991952779227}",20,16,9.678279239689282,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.4049466293265049}",25,2,-34.74730103022945,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.401719980097586}",30,16,7.6968453659890335,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3985190410845142}",25,11,-107.50179464053264,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 2}",1
117,False,"{'a': 0.5, 'e': 0.3953436074260998}",30,3,-10.655770956841652,"{0: 24, 1: 1, 2: 1, 3: 1, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.392193475893505}",25,15,6.971371267017634,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.38906844487723635}",20,3,-88.07577246944052,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 1}",1
